commande_id;ligne;date_commande;client_id;produit_id;magasin_id;quantite;prix_unitaire;remise_pct;montant_brut;montant_net;frais_livraison;moyen_paiement;statut_commande;canal_vente
CMD-005159;1;2025-02-28 13:56:33;C0058;P015;M05;2;67057;0;134114;134114;0;Espèces;Expédiée;Web
CMD-001756;1;2024-06-01 14:27:31;C0317;P019;M01;2;26073;0;52146;52146;0;Mobile Money;Livrée;Mobile App
CMD-004337;2;2025-01-01 09:24:11;C0042;P018;M03;1;174549;10;174549;157094;0;Espèces;En cours;Web
CMD-001367;1;2024-04-24 09:30:26;C0154;P039;M05;2;13140;0;26280;26280;0;Mobile Money;En cours;Web
CMD-006388;2;2025-06-27 19:37:11;C0411;P028;M07;5;9077;10;45385;40846;0;Virement;Retournée;Web
CMD-001731;3;2024-05-29 22:00:52;C0009;P015;M06;3;67057;0;201171;201171;0;Carte bancaire;Livrée;En magasin
CMD-007235;3;2025-09-22 10:28:13;;P016;M07;1;51293;15;51293;43599;0;Carte bancaire;Retournée;Mobile App
CMD-008591;2;2025-12-26 22:46:25;C0232;P001;M01;1;251606;10;251606;226445;0;Espèces;Annulée;Mobile App
CMD-008532;2;2025-12-23 17:32:16;C0325;P012;M06;1;45114;10;45114;40602;0;Espèces;Livrée;Mobile App
CMD-000958;3;2024-03-13 21:08:11;C0354;P010;M06;1;50685;15;50685;43082;0;Mobile Money;Livrée;WhatsApp
CMD-002619;3;2024-09-09 18:28:20;C0325;P035;M01;1;25577;0;25577;25577;0;Virement;Livrée;WhatsApp
CMD-002330;1;2024-08-11 09:23:54;C0109;P007;M04;1;43750;20;43750;35000;0;Espèces;Livrée;Mobile App
CMD-002849;1;2024-09-22 14:46:36;C0065;P020;M08;2;67934;5;135868;129074;0;Mobile Money;Livrée;Mobile App
CMD-002459;1;2024-08-30 18:48:22;C0203;P004;M06;1;480524;20;480524;384419;5000;Espèces;Livrée;En magasin
CMD-008006;1;2025-11-27 15:54:15;C0432;P032;M06;1;75184;0;75184;75184;15000;Espèces;Annulée;Mobile App
CMD-005240;1;2025-03-08 13:09:52;C0129;P011;M01;1;90347;0;90347;90347;5000;Mobile Money;Livrée;WhatsApp
CMD-004030;1;2024-12-18 19:47:28;C0355;P020;M07;1;67934;0;67934;67934;5000;Mobile Money;Livrée;Mobile App
CMD-003070;1;2024-10-07 07:48:32;C0374;P050;M06;2;6243;10;12486;11237;0;Mobile Money;Livrée;Web
CMD-007200;1;2025-09-20 15:26:47;C0362;P027;M06;2;6588;20;13176;10540;15000;Virement;Livrée;Mobile App
CMD-005179;1;2025-03-01 08:05:34;C0266;P029;M01;1;6366;10;6366;5729;15000;Espèces;Livrée;WhatsApp
CMD-001076;3;2024-03-26 11:52:24;C0283;P029;M01;3;6366;0;19098;19098;0;Espèces;En cours;Web
CMD-007896;2;2025-11-16 15:16:08;C0132;P047;M01;1;50490;5;50490;47965;0;Carte bancaire;Livrée;WhatsApp
CMD-001457;1;2024-05-03 18:38:57;C0268;P038;M03;2;33820;0;67640;67640;0;Carte bancaire;Retournée;Mobile App
CMD-003843;1;2024-12-11 12:33:21;C0326;P036;M08;1;50856;20;50856;40684;15000;Mobile Money;Livrée;Mobile App
CMD-000472;3;2024-01-28 20:22:09;C0331;P027;M08;1;6588;0;6588;6588;0;Mobile Money;Livrée;WhatsApp
CMD-004744;1;2025-01-23 21:35:41;C0169;P026;M06;1;13601;15;13601;11560;0;Mobile Money;Livrée;Mobile App
CMD-004871;3;2025-01-30 11:06:51;C0012;P010;M06;1;50685;0;50685;50685;0;Carte bancaire;Retournée;En magasin
CMD-002080;1;2024-07-03 19:43:06;C0164;P005;M01;1;33440;15;33440;28424;5000;Mobile Money;Livrée;En magasin
CMD-002139;2;2024-07-12 11:58:28;C0145;P023;M02;1;15920;0;15920;15920;0;Mobile Money;Livrée;En magasin
CMD-007394;1;2025-09-30 12:28:23;C0199;P011;M07;1;90347;5;90347;85829;5000;Mobile Money;En cours;Mobile App
CMD-000055;1;2024-01-04 21:52:43;C0137;P019;M02;3;26073;0;78219;78219;10000;Mobile Money;Annulée;Mobile App
CMD-004423;2;2025-01-05 23:47:36;C0489;P041;M06;1;9549;0;9549;9549;0;Mobile Money;Livrée;Web
CMD-002603;1;2024-09-08 07:55:40;C0340;P001;M01;2;251606;15;503212;427730;0;Mobile Money;Annulée;Mobile App
CMD-002855;2;2024-09-22 14:11:03;C0372;P008;M06;1;115956;0;115956;115956;0;Mobile Money;Retournée;Mobile App
CMD-007098;1;2025-09-14 20:44:35;C0337;P011;M06;1;90347;0;90347;90347;5000;Espèces;Expédiée;Web
CMD-000852;2;2024-03-03 12:03:43;C0340;P001;M02;1;251606;0;251606;251606;0;Mobile Money;Livrée;En magasin
CMD-000093;1;2024-01-06 21:37:00;C0277;P018;M02;2;174549;10;349098;1349097;15000;Mobile Money;Annulée;WhatsApp
CMD-005972;4;2025-05-17 14:53:20;C0333;P015;M07;2;67057;0;134114;134114;0;Mobile Money;Livrée;WhatsApp
CMD-007581;2;2025-10-19 16:00:39;C0476;P031;M05;1;278858;0;278858;278858;0;Virement;Livrée;WhatsApp
CMD-002660;1;2024-09-10 13:22:54;C0483;P022;M08;1;39096;0;39096;39096;5000;Virement;Livrée;Mobile App
CMD-002184;2;2024-07-19 10:03:56;C0133;P032;M08;2;75184;0;150368;150368;0;Espèces;En cours;Mobile App
CMD-006169;1;2025-06-06 14:29:56;C0269;P026;M06;2;13601;15;27202;23121;0;Espèces;Livrée;Mobile App
CMD-007631;2;2025-10-23 18:55:15;C0022;P039;M06;5;13140;0;65700;65700;0;Espèces;En cours;En magasin
CMD-008160;2;2025-12-06 12:52:17;C0399;P002;M06;2;916412;0;1832824;1832824;0;Carte bancaire;Livrée;WhatsApp
CMD-007487;3;2025-10-10 21:41:02;C0123;P016;M03;2;51293;0;102586;102586;0;Mobile Money;Livrée;Mobile App
CMD-007719;1;2025-11-01 11:27:23;C0404;P018;M06;2;174549;0;349098;349098;0;Carte bancaire;Livrée;Mobile App
CMD-003802;1;2024-12-09 10:34:07;C0178;P020;M02;2;67934;0;135868;135868;10000;Mobile Money;Livrée;Web
CMD-000853;1;2024-03-03 19:16:08;C0399;P034;M01;1;190854;0;190854;190854;10000;Mobile Money;Livrée;Mobile App
CMD-005495;1;2025-04-02 20:21:47;C0492;P031;M06;1;278858;20;278858;223086;5000;Mobile Money;Annulée;WhatsApp
CMD-003155;1;2024-10-16 22:19:54;C0114;P026;M06;2;13601;20;27202;21761;10000;Espèces;Livrée;WhatsApp
CMD-003200;4;2024-10-22 23:12:24;C0263;P002;M07;1;916412;10;916412;824770;0;Carte bancaire;Livrée;Web
CMD-006406;2;2025-06-30 19:06:32;C0241;P003;M01;2;707496;10;1414992;1273492;0;Mobile Money;Retournée;Mobile App
CMD-001080;2;2024-03-26 09:54:46;C0078;P021;M04;5;124863;5;624315;593099;0;Virement;En cours;Mobile App
CMD-003121;4;2024-10-12 08:16:49;C0317;P035;M06;2;25577;0;51154;51154;0;Carte bancaire;Livrée;Web
CMD-008374;2;2025-12-16 12:24:05;C0099;P044;M06;3;15635;0;46905;46905;0;Virement;Livrée;Mobile App
CMD-003479;1;2024-11-18 07:03:46;C0238;P018;M06;2;174549;15;349098;296733;10000;Mobile Money;Livrée;En magasin
CMD-006799;1;2025-08-25 21:31:42;C0311;P006;M01;1;350025;15;350025;297521;15000;Mobile Money;Livrée;Web
CMD-002776;3;2024-09-17 16:43:31;C0217;P039;M07;5;13140;5;65700;62415;0;Carte bancaire;Livrée;WhatsApp
CMD-008399;3;2025-12-17 15:17:31;C0352;P038;M05;2;33820;0;67640;67640;0;Virement;Livrée;Mobile App
CMD-008305;2;2025-12-13 22:06:30;C0422;P047;M06;1;50490;5;50490;47965;0;Espèces;En cours;Web
CMD-001877;1;2024-06-13 16:24:44;C0075;P007;M02;1;43750;0;43750;43750;15000;Espèces;En cours;Mobile App
CMD-007389;3;2025-09-30 19:13:01;C0396;P023;M03;1;15920;10;15920;14328;0;Mobile Money;Livrée;En magasin
CMD-002940;3;2024-09-27 07:57:32;C0422;P033;M04;1;408208;0;408208;408208;0;Mobile Money;Expédiée;Mobile App
CMD-000909;1;2024-03-08 22:39:48;C0185;P026;M02;1;13601;0;13601;13601;10000;Mobile Money;Annulée;Mobile App
CMD-004797;1;2025-01-26 13:16:47;C0251;P019;M05;5;26073;0;130365;130365;0;Espèces;Livrée;WhatsApp
CMD-003343;2;2024-11-04 20:27:23;C0341;P019;M06;1;26073;5;26073;24769;0;Carte bancaire;Retournée;Web
CMD-002541;1;2024-09-04 19:01:06;C0424;P022;M07;2;39096;20;78192;62553;0;Espèces;Annulée;Web
CMD-005993;1;2025-05-19 13:11:10;C0340;P034;M06;2;190854;5;381708;362622;0;Virement;Livrée;En magasin
CMD-004951;2;2025-02-06 20:47:24;C0117;P025;M06;1;21713;0;21713;21713;0;Carte bancaire;En cours;Mobile App
CMD-000923;1;2024-03-10 20:21:48;C0427;P041;M01;1;9549;5;9549;9071;0;Espèces;Annulée;Web
CMD-006124;2;2025-06-02 22:09:36;C0409;P006;M07;1;350025;0;350025;350025;0;Virement;Livrée;En magasin
CMD-005501;1;2025-04-02 18:38:33;C0089;P030;M01;1;6536;0;6536;6536;15000;Mobile Money;Livrée;Mobile App
CMD-007714;2;2025-10-31 10:33:00;C0214;P023;M06;1;15920;0;15920;15920;0;Mobile Money;Livrée;Mobile App
CMD-006935;4;2025-09-05 09:07:02;C0107;P015;M06;2;67057;10;134114;120702;0;Espèces;Livrée;WhatsApp
CMD-003277;3;2024-10-28 15:37:29;C0374;P003;M05;3;707496;0;2122488;2122488;0;Mobile Money;Annulée;WhatsApp
CMD-004208;3;2024-12-26 19:48:17;C0154;P013;M06;1;61505;10;61505;55354;0;Virement;Livrée;Web
CMD-003574;2;2024-11-28 13:50:28;C0419;P002;M02;5;916412;15;4582060;3894751;0;Espèces;Livrée;Mobile App
CMD-004075;1;2024-12-20 21:50:21;C0337;P004;M01;2;480524;10;961048;864943;10000;Virement;Retournée;Web
CMD-007175;2;2025-09-19 09:40:32;C0020;P026;M03;2;13601;20;27202;21761;0;Virement;Annulée;Mobile App
CMD-006848;1;2025-09-01 12:20:38;C0193;P035;M02;2;25577;0;51154;51154;10000;Mobile Money;Retournée;Mobile App
CMD-005437;1;2025-03-27 11:50:22;C0028;P008;M04;1;115956;10;115956;104360;0;Mobile Money;Livrée;Mobile App
CMD-007919;4;2025-11-18 15:59:13;C0206;P011;M07;1;90347;0;90347;90347;0;Espèces;Livrée;Mobile App
CMD-005327;4;2025-03-16 17:13:37;C0394;P006;M01;5;350025;5;1750125;1662618;0;Espèces;Annulée;Mobile App
CMD-005381;1;2025-03-21 16:02:11;C0472;P049;M07;2;29143;15;58286;49543;5000;Espèces;Annulée;Mobile App
CMD-001275;1;2024-04-14 19:25:39;C0318;P032;M06;5;75184;15;375920;319532;10000;Virement;Livrée;Mobile App
CMD-006029;1;2025-05-23 20:00:52;C0212;P023;M04;2;15920;0;31840;31840;15000;Espèces;Expédiée;Mobile App
CMD-004387;1;2025-01-04 13:52:36;C0488;P031;M07;1;278858;5;278858;264915;0;Mobile Money;Livrée;Web
CMD-001446;1;2024-05-01 11:22:55;C0439;P023;M03;2;15920;0;31840;31840;0;Carte bancaire;Retournée;En magasin
CMD-003395;1;2024-11-10 14:23:49;C0096;P013;M05;3;61505;0;184515;184515;10000;Espèces;Livrée;En magasin
CMD-003710;4;2024-12-05 09:47:48;C0008;P047;M02;5;50490;15;252450;214582;0;Mobile Money;Expédiée;Mobile App
CMD-004888;2;2025-02-01 07:04:20;C0225;P045;M07;2;27398;10;54796;49316;0;Carte bancaire;Expédiée;Mobile App
CMD-004703;2;2025-01-21 07:50:37;C0274;P035;M01;2;25577;0;51154;51154;0;Espèces;Livrée;En magasin
CMD-008420;2;2025-12-18 19:11:03;C0181;P030;M06;2;6536;20;13072;10457;0;Espèces;Livrée;En magasin
CMD-002385;3;2024-08-19 22:46:07;C0466;P014;M04;1;87965;0;87965;87965;0;Espèces;Expédiée;Web
CMD-000691;3;2024-02-17 23:34:45;C0134;P009;M08;2;7913;0;15826;15826;0;Mobile Money;Livrée;Mobile App
CMD-000382;2;2024-01-22 20:25:06;C0326;P043;M04;3;12750;0;38250;38250;0;Espèces;Retournée;Web
CMD-005208;3;2025-03-04 23:45:31;C0080;P025;M06;1;21713;0;21713;21713;0;Virement;Livrée;WhatsApp
CMD-007785;1;2025-11-06 09:27:49;C0380;P020;M01;1;67934;0;67934;67934;15000;Espèces;Livrée;En magasin
CMD-005835;2;2025-05-04 17:05:57;C0401;P038;M06;3;33820;5;101460;96387;0;Mobile Money;Annulée;Mobile App
CMD-005589;1;2025-04-10 18:19:23;C0423;P035;M04;1;25577;0;25577;25577;0;Mobile Money;Expédiée;Mobile App
CMD-005678;2;2025-04-19 15:22:20;C0162;P014;M05;2;87965;0;175930;175930;0;Espèces;Livrée;Web
CMD-002095;1;2024-07-05 11:38:29;C0057;P045;M08;1;27398;10;27398;24658;0;Espèces;Annulée;Web
CMD-001472;1;2024-05-04 17:05:42;C0408;P001;M04;2;251606;10;503212;452890;15000;Espèces;Livrée;Mobile App
CMD-004306;4;2024-12-30 07:18:49;C0291;P035;M07;1;25577;0;25577;25577;0;Carte bancaire;Expédiée;Mobile App
CMD-003441;1;2024-11-15 11:29:09;C0482;P040;M01;1;77646;0;77646;77646;10000;Carte bancaire;Expédiée;Mobile App
CMD-007383;1;2025-09-30 22:39:09;C0315;P011;M01;5;90347;0;451735;451735;0;Mobile Money;Livrée;Mobile App
CMD-005183;1;2025-03-02 19:59:44;C0123;P042;M07;5;7087;10;35435;31891;10000;Mobile Money;Livrée;Web
CMD-007793;2;2025-11-08 12:44:10;C0275;P010;M07;2;50685;0;101370;101370;0;Mobile Money;Retournée;Mobile App
CMD-002706;2;2024-09-13 18:39:32;C0283;P031;M02;2;278858;0;557716;557716;0;Mobile Money;Livrée;En magasin
CMD-002433;2;2024-08-26 16:23:45;C0275;P040;M01;1;77646;0;77646;77646;0;Espèces;Retournée;Mobile App
CMD-003917;1;2024-12-14 12:20:06;C0355;P034;M05;1;0;0;0;0;5000;Mobile Money;Livrée;WhatsApp
CMD-003525;1;2024-11-23 07:32:35;C0222;P028;M06;1;9077;0;9077;9077;15000;Espèces;Livrée;En magasin
CMD-004301;4;2024-12-30 22:07:05;C0178;P034;M01;2;190854;0;381708;381708;0;Mobile Money;Livrée;En magasin
CMD-005050;2;2025-02-17 18:43:51;C0168;P021;M04;2;124863;20;249726;199780;0;Virement;Livrée;En magasin
CMD-001966;1;2024-06-22 11:27:09;C0328;P014;M02;1;87965;10;87965;79168;10000;Mobile Money;En cours;En magasin
CMD-005591;1;2025-04-10 07:55:06;C0340;P044;M01;1;15635;20;15635;12508;5000;Espèces;Annulée;En magasin
CMD-001406;2;2024-04-28 13:49:33;C0101;P031;M02;1;278858;0;278858;278858;0;Mobile Money;En cours;Web
CMD-008013;2;2025-11-28 12:41:35;C0413;P003;M07;1;707496;10;707496;636746;0;Carte bancaire;Annulée;WhatsApp
CMD-006018;2;2025-05-22 08:52:33;C0450;P034;M06;5;190854;0;954270;954270;0;Carte bancaire;Livrée;Mobile App
CMD-008224;1;2025-12-09 09:54:13;C0438;P048;M06;2;33807;5;67614;64233;10000;Carte bancaire;Livrée;Mobile App
CMD-007154;1;2025-09-18 19:33:49;C0252;P019;M02;2;26073;0;52146;52146;5000;Virement;Retournée;Mobile App
CMD-002854;1;2024-09-22 09:12:37;C0130;P016;M01;2;51293;15;102586;87198;10000;Espèces;Livrée;Mobile App
CMD-002218;2;2024-07-25 11:03:27;C0350;P004;M06;1;480524;0;480524;480524;0;Virement;Livrée;Mobile App
CMD-007317;1;2025-09-27 12:07:42;C0216;P040;M07;1;77646;0;77646;77646;10000;Espèces;Livrée;Mobile App
CMD-005239;1;2025-03-08 12:47:18;C0288;P040;M05;2;77646;0;155292;155292;15000;Carte bancaire;Retournée;En magasin
CMD-007445;1;2025-10-06 09:44:19;C0179;P050;M02;2;6243;0;12486;12486;0;Mobile Money;Retournée;Mobile App
CMD-001862;2;2024-06-11 22:54:47;C0268;P028;M08;1;9077;20;9077;7261;0;Mobile Money;Livrée;Web
CMD-005384;3;2025-03-22 12:06:26;C0425;P003;M06;1;707496;20;707496;565996;0;Espèces;Annulée;Mobile App
CMD-005945;2;2025-05-15 13:33:22;C0346;P019;M07;1;26073;0;26073;26073;0;Carte bancaire;Livrée;Mobile App
CMD-007350;3;2025-09-28 15:10:27;C0332;P005;M07;5;33440;10;167200;150480;0;Virement;Livrée;En magasin
CMD-007626;3;2025-10-23 16:55:28;C0093;P017;M06;3;34116;0;102348;102348;0;Espèces;Expédiée;Mobile App
CMD-005691;1;2025-04-20 21:49:31;C0092;P044;M02;2;15635;0;31270;31270;5000;Mobile Money;Retournée;Web
CMD-003608;1;2024-12-01 10:38:21;C0302;P037;M06;1;12249;0;12249;12249;5000;Mobile Money;Livrée;Web
CMD-002014;1;2024-06-26 13:11:24;C0399;P029;M07;5;6366;15;31830;27055;15000;Mobile Money;Livrée;Web
CMD-001400;2;2024-04-27 07:28:01;C0296;P007;M06;2;43750;0;87500;87500;0;Espèces;Livrée;Web
CMD-006699;2;2025-08-10 18:25:56;C0196;P037;M03;2;12249;5;24498;23273;0;Mobile Money;Livrée;Web
CMD-004965;1;2025-02-08 17:45:36;C0374;P031;M08;2;278858;20;557716;446172;0;Mobile Money;Livrée;En magasin
CMD-008394;2;2025-12-17 19:11:54;C0202;P001;M02;2;251606;0;503212;503212;0;Mobile Money;Livrée;WhatsApp
CMD-004559;1;2025-01-12 17:28:32;C0187;P047;M07;3;50490;10;151470;136323;0;Mobile Money;Annulée;Web
CMD-001043;2;2024-03-22 11:17:50;C0074;P026;M03;1;13601;20;13601;10880;0;Mobile Money;Retournée;Web
CMD-000083;1;2024-01-06 14:36:41;C0203;P023;M06;2;15920;0;31840;31840;10000;Espèces;Livrée;Mobile App
CMD-005043;1;2025-02-16 23:03:04;C0265;P019;M06;2;26073;10;52146;46931;5000;Mobile Money;Retournée;En magasin
CMD-004747;2;2025-01-23 14:48:52;C0043;P032;M07;3;75184;0;225552;225552;0;Mobile Money;Livrée;Mobile App
CMD-000170;3;2024-01-11 16:11:39;C0097;P009;M02;5;7913;0;39565;39565;0;Mobile Money;Livrée;En magasin
CMD-007365;2;2025-09-29 23:42:26;C0205;P002;M06;1;916412;0;916412;916412;0;Mobile Money;Retournée;Mobile App
CMD-006674;2;2025-08-06 08:46:53;C0357;P041;M05;1;9549;10;9549;8594;0;Virement;Livrée;Mobile App
CMD-004907;2;2025-02-02 21:49:13;C0085;P040;M06;3;77646;0;232938;232938;0;Mobile Money;Livrée;Mobile App
CMD-003909;2;2024-12-14 11:11:35;C0475;P027;M01;3;6588;0;19764;19764;0;Espèces;Livrée;WhatsApp
CMD-008083;1;2025-12-03 20:57:06;C0432;P047;M06;2;50490;20;100980;80784;0;Mobile Money;Livrée;Mobile App
CMD-000631;1;2024-02-11 19:09:31;C0380;P014;M03;1;87965;0;87965;87965;10000;Mobile Money;Livrée;WhatsApp
CMD-005810;3;2025-05-01 09:05:12;C0499;P020;M06;2;67934;0;135868;135868;0;Mobile Money;Livrée;Mobile App
CMD-002382;1;2024-08-19 19:42:08;C0195;P031;M06;1;278858;10;278858;250972;0;Virement;Livrée;Mobile App
CMD-007560;1;2025-10-16 07:49:39;C0064;P027;M01;1;6588;5;6588;6258;5000;Mobile Money;Livrée;En magasin
CMD-006980;1;2025-09-07 07:38:34;C0428;P004;M06;1;480524;10;480524;432471;5000;Mobile Money;Annulée;Mobile App
CMD-001731;1;2024-05-29 22:00:52;C0009;P035;M06;1;25577;0;25577;25577;10000;Carte bancaire;Livrée;En magasin
CMD-000134;2;2024-01-09 19:57:27;C0006;P025;M01;2;21713;5;43426;41254;0;Virement;Expédiée;Mobile App
CMD-000696;3;2024-02-17 23:32:47;C0281;P010;M07;2;50685;10;101370;91233;0;Espèces;Livrée;En magasin
CMD-007312;2;2025-09-27 21:05:07;C0497;P029;M03;5;6366;0;31830;31830;0;Mobile Money;Livrée;Mobile App
CMD-002381;1;2024-08-19 12:05:54;C0151;P012;M01;2;45114;20;90228;72182;0;Espèces;Livrée;Mobile App
CMD-001982;2;2024-06-23 10:32:00;C0212;P015;M04;3;67057;15;201171;170995;0;Carte bancaire;Expédiée;Web
CMD-006835;3;2025-08-30 08:59:43;C0123;P009;M01;1;7913;5;7913;7517;0;Carte bancaire;Livrée;Mobile App
CMD-005778;1;2025-04-28 07:39:43;C0322;P042;M04;1;7087;5;7087;6732;0;Mobile Money;Annulée;WhatsApp
CMD-000932;1;2024-03-11 09:07:59;C0028;P013;M07;3;61505;0;184515;184515;10000;Espèces;Livrée;Web
CMD-005615;1;2025-04-13 16:37:02;C0073;P005;M02;1;33440;0;33440;33440;10000;Virement;Livrée;Web
CMD-003604;1;2024-12-01 15:37:16;C0467;P014;M01;5;87965;0;439825;439825;0;Virement;Livrée;Mobile App
CMD-002073;2;2024-07-02 19:37:17;C0117;P047;M06;1;50490;20;50490;40392;0;Espèces;En cours;Mobile App
CMD-003553;1;2024-11-26 09:45:52;C0251;P026;M03;2;13601;5;27202;25841;10000;Mobile Money;Livrée;Mobile App
CMD-006066;1;2025-05-27 23:41:16;C0054;;M07;2;90347;0;180694;180694;10000;Mobile Money;Annulée;Mobile App
CMD-002619;1;2024-09-09 18:28:20;C0325;P016;M01;2;51293;0;102586;102586;0;Virement;Livrée;WhatsApp
CMD-008671;1;2025-12-30 17:19:26;C0011;P012;M05;1;45114;0;45114;45114;0;Espèces;Livrée;Web
CMD-007466;3;2025-10-08 14:00:10;C0137;P030;M03;1;6536;10;6536;5882;0;Carte bancaire;Livrée;Mobile App
CMD-005358;3;2025-03-19 13:47:54;C0413;P019;M01;1;26073;20;26073;20858;0;Espèces;Livrée;Web
CMD-007675;4;2025-10-27 10:27:08;C0381;P037;M06;2;12249;0;24498;24498;0;Mobile Money;Livrée;En magasin
CMD-007964;1;2025-11-22 17:13:07;C0282;P039;M01;3;13140;0;39420;39420;0;Espèces;Retournée;Mobile App
CMD-003166;1;2024-10-19 16:47:08;C0181;P016;M08;2;51293;0;102586;102586;15000;Espèces;Livrée;Mobile App
CMD-000736;1;2024-02-21 23:01:20;C0446;P002;M02;1;916412;0;916412;916412;5000;Espèces;Annulée;Mobile App
CMD-002516;1;2024-09-03 16:58:46;C0103;P022;M06;2;39096;10;78192;70372;0;Espèces;Livrée;Mobile App
